40,apathetic,/??p??'????t??k/ a.??,??p??'????t??k, a,??,,feeling or showing a lack of interest or concern; indifferent
41,apathy,/'??p??????/ n. Syn. indifference,'??p??????, n, Syn, indifference,lack of caring; indifference
42,apprehend,/??pr??'h??nd/ v. Syn. arrest; perceive,??pr??'h??nd, v, Syn, arrest; perceive,take into custody; arrest a criminal; grasp mentally; perceive
43,apprehensive,/??pr??'h??ns??v/ a.??,??pr??'h??ns??v, a,??,,capable of apprehending; knowing; conscious; relating to the faculty of apprehension; sensible; feeling; perceptive
44,apprise,/??'pra??z/ v. Syn. inform,??'pra??z, v, Syn, inform,inform; give notice to; make aware
45,approbation,/??pr??'be????(??)n/ n. Syn. approval,??pr??'be????(??)n, n, Syn, approval,expression of warm approval; praise
46,apt,/??pt/ a. Syn. appropriate; suitable,??pt, a, Syn, appropriate; suitable,likely; exactly suitable; appropriate; quick to learn or understand
47,aptitude,/'??pt??tju:d/;/'??pt??tud/ n. Syn. intelligence; talent,??pt??tju:d; '??pt??tud, n, Syn, intelligence; talent,inherent ability; quickness in learning and understanding
48,arbiter,/'??rb??t??(r)/ n. Syn. judge,'??rb??t??(r), n, Syn, judge,person with power to decide a dispute; judge
49,archetype,/'??rk??ta??p/ n. Syn. prototype,'??rk??ta??p, n, Syn, prototype,prototype; original model or type after which other similar things are patterned
50,arid,/'??r??d/ a. Syn. dry; barren,'??r??d, a, Syn, dry; barren,"dry; lacking moisture, especially having insufficient rainfall to support trees or plants"
51,aristocracy,/??r??s't??kr??s??/ n.??,??r??s't??kr??s??, n,??,,hereditary nobility; privileged class
52,articulate,/??r't??kj??l??t/ a. Syn. effective; distinct,??r't??kj??l??t, a, Syn, effective; distinct,expressing oneself easily in clear and effective language
53,ascetic,/??'s??t??k/ a. Syn. austere; severe,??'s??t??k, a, Syn, austere; severe,leading a life of self-discipline and self-denial; austere
54,assiduous,/??'s??dj????s/;/??'s??d??????s/ a. Syn. diligent; persistent,??'s??dj????s; ??'s??d??????s, a, Syn, diligent; persistent,constant in application or attention; diligent; unceasing or persistent
55,asylum,/??'sa??l??m/ n. Syn. protection,??'sa??l??m, n, Syn, protection,place of refuge or shelter; protection
56,atheist,/'e????i??st/ n. Syn. nonbeliever,'e????i??st, n, Syn, nonbeliever,nonbeliever; one who denies the existence of god
57,attribute,/??'tr??bju:t/ n. Syn. trait,??'tr??bju:t, n, Syn, trait,essential quality; reputation; honor
58,augment,/??:g'm??nt/ v. Syn. increase,??:g'm??nt, v, Syn, increase,"make greater, as in size, extent, or quantity"
59,auspicious,/??:'sp??????s/ a. Syn. propitious,??:'sp??????s, a, Syn, propitious,attended by favorable circumstances; marked by success; prosperous
60,authentic,/??r'????nt??k/ a. Syn. genuine; real; valid; trustworthy,??r'????nt??k, a, Syn, genuine; real; valid; trustworthy,not counterfeit or copied; valid; trustworthy
61,autocratic,/??t??'kr??t??k/ a. Syn. dictatorial,??t??'kr??t??k, a, Syn, dictatorial,"having absolute, unchecked power; dictatorial"
62,avarice,/'??v??r??s/ n.??,'??v??r??s, n,??,,greediness for wealth; insatiable desire of gain
63,awry,/??'ra??/ ad. Syn. distorted; crooked ; askew; amiss,??'ra??, ad, Syn, distorted; crooked ; askew; amiss,in a position that is turned toward one side; away from correct course
64,banal,/b??'n??rl/;/'be??nl/ a. Syn. dull; commonplace; trite,b??'n??rl; 'be??nl, a, Syn, dull; commonplace; trite,obvious and dull; commonplace; lacking originality
65,bane,/be??n/ n. Syn. curse,be??n, n, Syn, curse,something causes misery or death; curse; fatal injury or ruin
66,banter,/'b??nt??(r)/ n.??,'b??nt??(r), n,??,,"good-humored, playful conversation"
67,baton,/'b??t(??)n/;/b??'t??n/ n.??,b??t(??)n; b??'t??n,n,,,"a staff or truncheon, used for various purposes, as one of a conductor in musical performances, one transferred by runners in a relay race"
68,belie,/b??'la??/ v. Syn. contradict,b??'la??, v, Syn, contradict,contradict; give a false impression
69,bellicose,/'b??l??ko??s/ a. Syn. warlike; belligerent,'b??l??ko??s, a, Syn, warlike; belligerent,warlike or hostile in manner or temperament; showing or having impulse to be combative
70,benevolent,/b??'n??v??l??nt/ a. Syn. generous; charitable,b??'n??v??l??nt, a, Syn, generous; charitable,generous in providing aid to others; charitable
71,besmirch,/b??'sm??rt??/ v.??,b??'sm??rt??, v,??,,"soil, smear so as to make dirty or stained"
72,biased,/'ba????s(??)d/ a. Syn. slanted; prejudiced,'ba????s(??)d, a, Syn, slanted; prejudiced,favoring one person or side over another; prejudiced
73,bizarre,/b??'z??r(r)/ a. Syn. fantastic,b??'z??r(r), a, Syn, fantastic,fantastic; violently contrasting; strangely unconventional in style or appearance
74,bland,/bl??nd/ a. Syn. soothing; mild; agreeable,bl??nd, a, Syn, soothing; mild; agreeable,lacking stimulating or mild; agreeable
75,blandishment,/'bl??nd????m??nt/ n. Syn. flattery,'bl??nd????m??nt, n, Syn, flattery,"flattery; speech or action expressive of affection or kindness, and tending to win the heart"
76,blemish,/'bl??m????/ v.??,'bl??m????, v,??,,"mark with deformity; injure or impair, as anything which is excellent; make defective, either the body or mind"
77,blight,/bla??t/ v.??,bla??t, v,??,,blast; prevent the growth and fertility of; destroy the happiness of; ruin; frustrate
78,blithe,/bla????/ a. Syn. gay; joyous; heedless,bla????, a, Syn, gay; joyous; heedless,gay; joyous; carefree and lighthearted
79,bombastic,/b??m'b??st??k/ a. Syn. pompous,b??m'b??st??k, a, Syn, pompous,pompous; using inflated language; high-sounding but with little meaning
80,boorish,/'b????r????/ a. Syn. rude; clumsy; illiterate,'b????r????, a, Syn, rude; clumsy; illiterate,rude and clumsy in behavior; ungentlemanly; awkward in manners
81,bucolic,/bju:'k??l??k/ a. Syn. rustic; pastoral,bju:'k??l??k, a, Syn, rustic; pastoral,"rustic; pastoral; agricultural; relating to country affairs, or to shepherd's life and occupation"
82,buffoon,/b??'fu:n/ n.??,b??'fu:n, n,??,,"one who makes a practice of amusing others by low tricks, antic gestures; droll; mimic; clown"
83,bulwark,/'b??lw??k/ n.??,'b??lw??k, n,??,,earthwork or other strong defense; person who defends
84,bumptious,/'b??mp????s/ a.??,'b??mp????s, a,??,,offensively self-assertive; liable to give or take offense; forward; pushing
85,cabal,/k??'b??l/ n.??,k??'b??l, n,??,,small group of persons secretly united to promote their own interests
86,cacophonous,/k??'k??f??n??s/ a. Syn. discordant; inharmonious,k??'k??f??n??s, a, Syn, discordant; inharmonious,discordant; inharmonious; sounding harshly; ill-sounding
87,cadaverous,/k??'d??v??r??s/ a. Syn. pale,k??'d??v??r??s, a, Syn, pale,like corpse; pale; Having appearance or color of dead human body
88,callous,/'k??l??s/ a.??,'k??l??s, a,??,,emotionally hardened; unfeeling
89,candid,/'k??nd??d/ a. Syn. straightforward; frank,'k??nd??d, a, Syn, straightforward; frank,straightforward; frank; free from prejudice; impartial
90,candor,/k??nd??(r)/ n. Syn. frankness,k??nd??(r), n, Syn, frankness,frankness; quality of being honest and straightforward in attitude and speech
91,cantankerous,/k??n't????k??r??s/ a. Syn. irritable,k??n't????k??r??s, a, Syn, irritable,ill humored; irritable; marked by ill-tempered contradiction or opposition; ugly; malicious
92,capricious,/k??'pr??????s/ a. Syn. unpredictable; fickle; arbitrary,k??'pr??????s, a, Syn, unpredictable; fickle; arbitrary,fickle; impulsive and unpredictable; apt to change opinions suddenly
93,captious,/'k??p????s/ a.??,'k??p????s, a,??,,intended to confuse in an argument
94,caricature,/k??r??k??'tj????(r)/ n. Syn. distortion; burlesque,k??r??k??'tj????(r), n, Syn, distortion; burlesque,representation that is deliberately exaggerated to produce a comic effect
95,castigate,/'k??st??ge??t/ v. Syn. punish,'k??st??ge??t, v, Syn, punish,criticize severely; punish; revise or make corrections to publication
